Symbol: AMZN
Name: Amazon.com Inc
Exchange: NASDAQ
Date;Open;High;Low;Close;Volume
1999-03-01;63.50;68.03;62.00;66.50;193690
1999-03-02;67.22;67.87;60.53;60.66;166032
1999-03-03;61.87;63.75;60.12;61.75;155288
1999-03-04;62.75;63.50;57.94;60.06;178874
1999-03-05;61.97;62.25;59.19;60.75;121762
1999-03-08;60.72;63.22;59.62;61.09;104626
1999-03-09;62.56;66.62;61.72;64.97;162920
1999-03-10;68.37;69.47;67.00;68.56;141176
1999-03-11;69.87;71.37;65.50;67.44;162522
1999-03-12;67.00;67.69;64.31;66.66;93326
1999-03-15;66.50;69.50;65.50;69.47;70208
1999-03-16;69.50;70.19;66.37;66.91;75344
1999-03-17;65.66;66.75;64.12;65.50;78674
1999-03-18;66.44;70.00;66.19;69.22;123002
1999-03-19;70.94;71.53;67.50;67.53;107252
1999-03-22;66.59;68.25;65.25;66.00;65984
1999-03-23;64.31;64.94;59.00;59.69;112168
1999-03-24;58.59;62.00;57.00;61.84;115438
1999-03-25;64.47;70.00;64.09;69.94;160998
1999-03-26;70.00;73.87;68.69;69.53;249220
1999-03-29;75.00;75.75;74.00;74.81;188880
1999-03-30;76.00;84.75;75.77;82.34;261774
1999-03-31;85.62;89.00;82.56;86.09;220942
1999-04-01;89.69;90.06;83.75;85.50;115732
1999-04-05;86.31;93.75;85.87;93.25;159168
1999-04-06;92.25;97.87;89.75;91.44;145318
1999-04-07;93.31;93.66;85.62;87.91;131666
1999-04-08;87.41;92.06;83.00;89.50;114878
1999-04-09;89.06;93.00;87.87;91.44;68390
1999-04-12;88.06;94.12;88.00;92.22;85692
1999-04-13;93.37;96.00;89.12;89.19;80388
1999-04-14;91.00;92.25;83.31;84.00;99528
1999-04-15;82.94;85.25;75.50;83.62;164984
1999-04-16;91.94;95.75;90.34;95.00;316602
1999-04-19;94.50;94.50;77.50;79.47;283698
1999-04-20;78.66;87.16;76.75;86.00;200050
1999-04-21;86.19;91.00;84.50;89.62;110820
1999-04-22;92.16;95.50;88.97;95.03;125382
1999-04-23;96.44;108.25;95.87;105.06;317168
1999-04-26;104.50;107.94;102.00;103.59;139850
1999-04-27;108.50;110.62;101.00;102.94;178954
1999-04-28;100.00;101.00;91.19;96.75;194738
1999-04-29;86.22;90.87;82.50;84.12;422084
1999-04-30;88.50;90.00;82.50;86.03;177764
1999-05-03;83.44;83.53;75.06;75.47;261864
1999-05-04;76.31;80.25;70.25;71.50;216964
1999-05-05;71.94;74.12;66.94;73.25;277098
1999-05-06;74.00;75.50;67.87;68.69;182844
1999-05-07;70.37;72.00;65.50;68.19;166540
1999-05-10;68.31;73.50;67.00;73.44;142412
1999-05-11;75.34;76.94;72.00;74.19;139414
1999-05-12;74.03;74.31;70.75;71.47;73274
1999-05-13;72.19;73.94;68.00;68.00;114990
1999-05-14;66.56;67.37;64.91;66.19;112668
1999-05-17;65.00;69.00;60.75;68.81;208582
1999-05-18;68.22;68.75;65.47;66.31;124078
1999-05-19;66.97;69.81;66.75;69.78;126192
1999-05-20;68.37;69.00;65.25;65.41;68940
1999-05-21;65.37;66.00;62.87;64.28;80056
1999-05-24;64.31;64.69;58.00;58.75;142538
1999-05-25;58.62;60.56;55.69;55.78;155102
1999-05-26;56.59;60.94;52.25;60.47;211586
1999-05-27;59.81;60.28;57.00;57.28;135734
1999-05-28;57.81;60.19;56.00;59.37;96802
1999-06-01;55.75;56.75;52.49;52.91;200764
1999-06-02;52.37;57.50;48.56;56.06;369064
1999-06-03;56.97;57.25;52.25;52.53;173116
1999-06-04;52.81;55.00;50.81;54.22;194918
1999-06-07;54.28;59.94;54.00;58.69;169014
1999-06-08;60.00;60.69;55.19;55.78;138444
1999-06-09;56.97;57.25;54.87;57.00;89042
1999-06-10;55.94;59.06;55.06;57.97;127106
1999-06-11;57.56;58.50;52.37;52.91;138866
1999-06-14;51.97;52.25;44.87;46.00;207646
1999-06-15;46.12;49.87;45.31;48.25;183094
1999-06-16;50.66;56.50;50.50;55.84;217072
1999-06-17;55.81;59.56;54.81;56.47;190414
1999-06-18;55.97;57.25;54.75;55.66;79720
1999-06-21;56.78;61.78;55.87;61.75;162272
1999-06-22;61.59;64.75;58.25;58.75;167294
1999-06-23;57.78;60.66;56.06;58.87;164298
1999-06-24;59.06;59.41;56.50;56.81;83552
1999-06-25;58.22;58.75;54.06;55.09;97518
1999-06-28;55.50;55.94;51.22;55.34;168718
1999-06-29;55.12;59.12;54.37;58.03;156480
1999-06-30;58.25;64.62;57.50;62.56;169062
1999-07-01;62.62;63.25;59.00;61.19;143828
1999-07-02;61.62;63.00;60.37;62.03;72084
1999-07-06;64.00;66.66;62.75;63.44;148862
1999-07-07;63.06;63.75;60.00;60.94;99880
1999-07-08;62.81;63.75;60.66;62.69;106244
1999-07-09;63.06;63.87;62.03;62.75;55818
1999-07-12;62.50;62.75;58.00;58.69;106532
1999-07-13;58.12;63.59;57.50;63.06;204532
