Symbol: IBM
Name: International Business Machines Corp
Exchange: NYSE
Date;Open;High;Low;Close;Volume
1999-03-01;33.15;33.15;30.96;32.59;95908
1999-03-02;33.65;33.87;31.84;32.27;87436
1999-03-03;32.65;32.87;30.93;31.77;77430
1999-03-04;35.15;36.90;33.46;33.90;215010
1999-03-05;35.34;37.87;35.27;37.59;116062
1999-03-08;37.71;38.40;36.93;37.84;75598
1999-03-09;38.34;40.84;37.68;39.49;100190
1999-03-10;39.21;39.84;38.52;39.15;70098
1999-03-11;39.59;41.37;39.15;39.84;85912
1999-03-12;39.74;40.12;37.40;37.40;96832
1999-03-15;37.99;39.56;36.96;39.40;79028
1999-03-16;39.40;40.15;38.49;38.90;66060
1999-03-17;38.15;38.40;37.40;37.43;69154
1999-03-18;37.15;37.27;34.87;37.21;145050
1999-03-19;36.71;37.40;32.40;32.68;194968
1999-03-22;32.74;33.65;31.71;31.90;118966
1999-03-23;31.90;32.21;30.40;31.09;100150
1999-03-24;32.40;33.65;31.65;33.15;118210
1999-03-25;34.40;35.02;33.15;34.06;98288
1999-03-26;33.93;36.34;33.68;34.59;82664
1999-03-29;35.90;37.77;35.59;37.34;80982
1999-03-30;36.90;39.02;36.84;37.68;74668
1999-03-31;38.40;39.15;36.65;37.02;58352
1999-04-01;37.06;37.24;35.74;36.90;53108
1999-04-05;37.90;40.37;37.68;40.37;92384
1999-04-06;39.96;41.77;39.49;39.90;87428
1999-04-07;40.40;42.21;37.93;41.65;116620
1999-04-08;41.40;42.43;39.56;41.90;85310
1999-04-09;41.21;42.43;40.40;41.56;61118
1999-04-12;40.15;40.21;38.93;40.12;89798
1999-04-13;40.40;40.40;38.37;38.40;68464
1999-04-14;39.77;40.34;37.21;38.09;72610
1999-04-15;38.15;38.15;35.15;37.27;83304
1999-04-16;37.15;37.15;33.46;33.59;119288
1999-04-19;33.84;34.56;30.43;31.77;153836
1999-04-20;31.90;33.27;29.90;33.27;147160
1999-04-21;33.27;34.34;30.96;34.34;131616
1999-04-22;47.02;47.77;44.74;45.65;391698
1999-04-23;45.09;51.68;44.87;48.27;207510
1999-04-26;50.77;53.77;49.56;53.34;186660
1999-04-27;54.40;56.02;52.65;54.40;209292
1999-04-28;53.02;53.65;50.15;50.90;113418
1999-04-29;50.90;52.90;50.12;50.81;112792
1999-04-30;52.65;53.90;50.12;52.99;90310
1999-05-03;52.40;54.52;51.56;54.52;90322
1999-05-04;54.52;56.34;54.09;54.40;111324
1999-05-05;54.46;54.65;52.06;54.46;84724
1999-05-06;54.46;55.52;52.52;53.14;83396
1999-05-07;54.14;57.27;54.05;57.14;99868
1999-05-10;57.14;59.46;57.05;57.83;95484
1999-05-11;58.77;59.46;57.27;59.02;83728
1999-05-12;59.08;62.74;56.27;61.27;120668
1999-05-13;65.52;71.52;65.52;71.52;243314
1999-05-14;69.27;70.27;66.52;68.14;180738
1999-05-17;66.52;68.33;64.52;67.27;115604
1999-05-18;67.64;68.83;67.02;67.77;86338
