Symbol: MSFT
Name: Microsoft Corp
Exchange: NASDAQ
Date;Open;High;Low;Close;Volume
1999-03-01;21.20;21.95;21.18;21.75;583320
1999-03-02;21.78;22.34;20.72;20.95;585696
1999-03-03;21.06;21.48;20.58;21.22;767984
1999-03-04;21.59;22.18;20.84;21.87;616964
1999-03-05;22.50;22.65;22.09;22.54;473028
1999-03-08;22.68;23.62;22.56;23.56;467260
1999-03-09;23.78;25.00;23.75;24.26;901296
1999-03-10;24.39;24.43;23.61;24.15;531148
1999-03-11;24.06;24.95;23.64;24.17;629484
1999-03-12;24.47;24.50;23.01;23.86;733952
1999-03-15;23.95;25.31;23.28;25.28;606096
1999-03-16;25.18;26.31;24.87;26.08;685540
1999-03-17;26.08;26.17;25.50;25.59;449196
1999-03-18;25.42;26.95;25.36;26.92;562312
1999-03-19;27.28;27.34;26.28;26.61;919804
1999-03-22;27.04;27.54;26.81;27.01;557192
1999-03-23;26.98;27.34;25.37;25.45;695812
1999-03-24;25.56;26.76;24.59;26.62;826344
1999-03-25;27.08;28.83;26.93;28.79;1094476
1999-03-26;28.54;28.90;27.75;28.34;946876
1999-03-29;28.87;30.12;27.75;30.00;797770
1999-03-30;30.50;30.56;29.93;30.31;675024
1999-03-31;31.06;31.12;28.37;28.62;587526
1999-04-01;29.43;30.25;28.94;30.15;411060
1999-04-05;30.97;31.32;30.56;31.28;398486
1999-04-06;31.40;31.62;30.43;30.84;396748
1999-04-07;31.25;31.31;29.43;30.47;469102
1999-04-08;30.43;31.12;29.31;31.09;386370
1999-04-09;30.93;31.31;30.31;30.93;318168
1999-04-12;29.62;30.62;29.50;30.31;378588
1999-04-13;30.37;30.37;28.40;28.87;467468
1999-04-14;29.22;29.37;26.75;26.75;529440
1999-04-15;27.47;28.75;25.75;28.25;725946
1999-04-16;28.34;28.37;26.75;27.12;447740
1999-04-19;27.25;27.87;24.00;24.31;753890
1999-04-20;24.93;25.81;23.81;25.37;1084594
1999-04-21;24.87;25.06;23.81;24.81;927328
1999-04-22;26.31;26.43;25.50;26.28;550964
1999-04-23;26.31;27.31;25.31;26.81;565920
1999-04-26;27.40;28.28;27.18;27.81;483498
1999-04-27;28.18;28.18;25.78;25.81;586658
1999-04-28;26.47;27.06;24.67;24.87;559634
1999-04-29;25.00;25.65;24.01;24.84;608806
1999-04-30;25.18;25.68;23.75;24.47;585586
1999-05-03;24.53;24.56;23.09;23.75;671800
1999-05-04;24.06;24.72;22.68;22.84;665022
1999-05-05;23.37;23.75;22.03;23.37;670282
1999-05-06;24.15;24.37;22.56;22.78;740210
1999-05-07;23.62;24.00;22.81;23.34;480116
1999-05-10;23.75;24.06;22.93;23.65;462180
1999-05-11;24.18;24.32;23.53;23.75;427862
1999-05-12;24.18;24.31;23.43;24.06;601426
1999-05-13;24.37;24.68;23.37;23.37;517372
1999-05-14;23.25;23.78;22.12;22.25;844010
1999-05-17;22.50;23.59;22.31;23.37;668502
1999-05-18;23.72;23.93;22.78;23.15;638584
1999-05-19;23.75;23.75;22.43;23.47;465108
1999-05-20;23.59;23.81;23.00;23.03;423862
1999-05-21;23.06;23.31;22.31;22.59;565688
1999-05-24;22.75;22.75;21.84;22.43;389900
1999-05-25;22.18;23.43;21.87;21.93;507916
1999-05-26;22.40;23.06;21.56;23.06;520228
1999-05-27;22.93;23.53;22.56;23.00;567022
1999-05-28;23.18;24.25;22.87;24.15;415480
1999-06-01;24.12;24.18;23.03;23.06;360464
1999-06-02;22.84;23.12;21.93;23.03;428126
1999-06-03;23.00;23.28;21.87;22.00;329344
1999-06-04;22.28;23.65;22.18;23.59;356682
1999-06-07;23.78;24.34;23.40;23.93;323922
1999-06-08;23.75;24.87;23.31;23.50;415164
1999-06-09;23.87;25.12;23.81;24.97;533108
1999-06-10;24.75;24.97;23.34;23.75;352774
1999-06-11;23.81;24.06;22.59;22.87;345430
1999-06-14;23.18;23.65;22.53;22.59;283698
1999-06-15;22.84;23.25;22.15;22.65;369810
1999-06-16;23.34;24.62;23.28;24.31;483252
1999-06-17;24.15;25.31;24.06;25.25;444752
1999-06-18;24.97;26.31;24.87;26.31;691162
1999-06-21;26.25;28.31;26.25;28.28;561944
1999-06-22;28.03;28.03;26.93;27.06;387510
1999-06-23;26.78;27.50;26.34;26.81;339420
1999-06-24;26.68;26.93;25.81;26.12;335590
1999-06-25;26.50;27.03;26.00;26.28;249330
1999-06-28;26.56;27.22;26.28;27.18;317010
1999-06-29;27.15;27.84;26.81;27.81;389732
1999-06-30;27.68;28.93;27.18;28.90;576102
1999-07-01;28.75;29.56;28.00;29.40;477378
1999-07-02;29.25;29.87;28.97;29.81;320948
1999-07-06;29.93;30.28;28.43;28.59;454194
1999-07-07;28.84;29.97;28.75;29.97;338346
1999-07-08;29.72;30.31;29.15;30.09;377904
1999-07-09;30.00;30.47;29.93;30.43;338842
1999-07-12;30.40;31.18;30.00;30.90;438478
1999-07-13;30.37;30.84;30.22;30.62;308450
1999-07-14;30.68;31.31;30.06;31.28;379852
1999-07-15;31.31;31.43;30.68;31.00;409262
1999-07-16;31.56;33.75;31.31;33.53;1153698
1999-07-19;33.81;34.18;32.72;33.00;811816
1999-07-20;32.03;32.18;29.97;30.47;922874
1999-07-21;30.62;31.47;30.31;31.15;540508
1999-07-22;31.00;31.06;28.81;29.34;609042
1999-07-23;29.59;29.68;28.65;28.93;688332
1999-07-26;28.25;28.72;27.62;27.62;508850
1999-07-27;28.22;28.68;27.81;28.22;655130
1999-07-28;28.40;29.06;28.00;28.81;622152
