Symbol: ORCL
Name: Oracle Corp
Exchange: NYSE
Date;Open;High;Low;Close;Volume
1999-03-01;4.80;4.96;4.39;4.60;469184
1999-03-02;4.74;4.89;4.17;4.27;418528
1999-03-03;4.38;4.42;3.53;4.19;678984
1999-03-04;4.27;4.74;4.22;4.53;539876
1999-03-05;4.80;4.97;4.64;4.80;300492
1999-03-08;4.96;5.11;4.56;5.02;797016
1999-03-09;4.89;5.35;4.81;5.13;603712
1999-03-10;5.35;5.35;4.67;4.92;1012696
1999-03-11;5.06;5.06;4.16;4.66;966724
1999-03-12;2.97;3.06;2.44;2.58;4037536
1999-03-15;2.79;2.97;2.69;2.94;1205360
1999-03-16;3.03;3.06;2.80;2.89;801180
1999-03-17;2.94;2.94;2.71;2.71;472040
1999-03-18;2.74;2.91;2.69;2.86;523404
1999-03-19;2.94;2.94;2.30;2.33;1125068
1999-03-22;2.47;2.58;2.22;2.24;480568
1999-03-23;2.24;2.25;1.94;1.96;592312
1999-03-24;2.00;2.02;1.89;1.92;573144
1999-03-25;2.13;2.22;1.97;2.11;614828
1999-03-26;2.17;2.47;2.00;2.31;482996
1999-03-29;2.50;2.58;2.31;2.56;463504
1999-03-30;2.55;2.63;2.16;2.16;389664
1999-03-31;2.38;2.46;2.00;2.03;620152
1999-04-01;2.16;2.19;1.85;1.89;736864
1999-04-05;2.10;2.11;1.69;1.77;823892
1999-04-06;1.78;1.81;1.31;1.36;999076
1999-04-07;1.46;1.50;0.69;0.80;1948312
1999-04-08;0.88;1.31;0.80;1.27;1375656
1999-04-09;1.60;1.94;1.35;1.91;1521500
1999-04-12;1.78;2.06;1.69;1.69;905732
1999-04-13;1.83;1.85;1.30;1.35;861280
1999-04-14;1.55;1.80;1.42;1.47;622676
1999-04-15;1.66;1.85;1.56;1.66;628608
1999-04-16;1.74;1.74;1.55;1.56;503180
1999-04-19;1.67;1.69;1.28;1.28;702128
1999-04-20;1.25;1.47;1.16;1.25;892272
1999-04-21;1.37;1.50;1.25;1.47;601740
1999-04-22;1.66;1.96;1.50;1.89;644988
1999-04-23;1.91;2.36;1.88;2.28;712496
1999-04-26;2.41;2.75;2.38;2.61;704924
1999-04-27;2.72;2.72;2.28;2.46;529928
1999-04-28;2.44;2.50;2.10;2.27;402284
1999-04-29;2.28;2.36;2.13;2.25;380688
1999-04-30;2.38;2.52;2.03;2.21;392952
1999-05-03;2.14;2.14;1.81;1.96;775000
1999-05-04;1.85;1.86;1.66;1.74;778888
1999-05-05;1.72;1.72;1.47;1.69;845116
1999-05-06;1.67;1.78;1.46;1.49;561716
1999-05-07;1.53;1.71;1.35;1.56;580820
1999-05-10;1.60;1.61;1.41;1.53;625376
1999-05-11;1.63;1.92;1.50;1.64;833420
1999-05-12;1.72;2.00;1.47;1.77;1000628
1999-05-13;1.41;1.81;1.17;1.19;2293284
1999-05-14;1.35;1.60;1.28;1.41;1592324
1999-05-17;1.52;1.69;1.39;1.56;553692
1999-05-18;1.66;1.69;1.56;1.64;420344
1999-05-19;1.72;2.06;1.69;2.03;686760
1999-05-20;2.11;2.19;1.77;1.77;826932
1999-05-21;1.75;2.14;1.72;1.88;476400
1999-05-24;1.99;2.05;1.58;1.63;511604
1999-05-25;1.74;1.78;1.44;1.44;493196
1999-05-26;1.35;1.44;1.08;1.30;917020
1999-05-27;1.31;1.49;1.17;1.33;519380
1999-05-28;1.39;1.66;1.36;1.64;372848
1999-06-01;1.67;1.94;1.66;1.81;592016
1999-06-02;1.78;2.00;1.74;1.99;529148
1999-06-03;2.08;2.33;2.06;2.31;976860
1999-06-04;2.38;2.64;2.31;2.61;956256
1999-06-07;2.66;2.69;2.47;2.56;545908
1999-06-08;2.49;2.50;2.13;2.22;470424
1999-06-09;2.25;2.27;2.00;2.11;433540
1999-06-10;2.03;2.05;1.81;1.96;503740
1999-06-11;1.94;2.00;1.69;1.77;553348
1999-06-14;1.85;2.10;1.81;2.05;689680
1999-06-15;2.13;2.33;1.67;1.72;1140508
1999-06-16;3.61;3.78;3.25;3.67;4059080
1999-06-17;3.38;4.19;3.38;4.16;2025524
1999-06-18;3.75;4.42;3.74;4.21;1248864
